data_hora;enviados;recebidos;pacotes_recebidos;pacotes_enviados;nome_componente;id_maquina;hostname;razao_social
10:02:38;18.93;42.74;41866;50778;REDE;1;notebook-ritinha;ViaMobilidade
10:03:44;33.84;53.87;55932;66196;REDE;1;notebook-ritinha;ViaMobilidade
10:04:50;44.47;62.52;66059;78035;REDE;1;notebook-ritinha;ViaMobilidade
10:05:55;47.2;71.21;71861;85591;REDE;1;notebook-ritinha;ViaMobilidade
10:07:00;55.38;77.49;79846;93890;REDE;1;notebook-ritinha;ViaMobilidade
10:08:05;71.88;82.64;92056;105011;REDE;1;notebook-ritinha;ViaMobilidade
10:09:10;87.49;93.72;106062;120443;REDE;1;notebook-ritinha;ViaMobilidade
10:10:14;105.3;104.95;122109;136177;REDE;1;notebook-ritinha;ViaMobilidade
10:11:20;122.69;116.2;137763;151736;REDE;1;notebook-ritinha;ViaMobilidade
10:12:25;137.98;127.66;152584;167980;REDE;1;notebook-ritinha;ViaMobilidade
10:13:30;151.45;138.43;165739;181911;REDE;1;notebook-ritinha;ViaMobilidade
10:14:35;162.16;149.43;177350;194778;REDE;1;notebook-ritinha;ViaMobilidade
10:15:40;167.48;159.64;185291;204829;REDE;1;notebook-ritinha;ViaMobilidade
12:55:34;229.36;211.97;261567;301943;REDE;1;notebook-ritinha;ViaMobilidade
20:02:07;37.95;457.06;305678;386457;REDE;1;notebook-ritinha;ViaMobilidade
20:02:30;39.3;498.15;323709;415322;REDE;1;notebook-ritinha;ViaMobilidade
20:02:54;154.37;669.88;412546;566621;REDE;1;notebook-ritinha;ViaMobilidade
20:03:17;154.39;669.92;412656;566773;REDE;1;notebook-ritinha;ViaMobilidade
20:03:41;270.29;887.62;525284;750435;REDE;1;notebook-ritinha;ViaMobilidade
20:04:03;270.65;893.33;529282;755052;REDE;1;notebook-ritinha;ViaMobilidade
20:04:26;326.15;1129.71;641790;936479;REDE;1;notebook-ritinha;ViaMobilidade
20:04:49;385.14;1140.57;656310;959754;REDE;1;notebook-ritinha;ViaMobilidade
20:05:12;412.48;1414.5;782319;1159197;REDE;1;notebook-ritinha;ViaMobilidade
20:05:35;502.3;1420.54;796891;1186940;REDE;1;notebook-ritinha;ViaMobilidade
20:05:57;510.19;1651.32;901498;1348159;REDE;1;notebook-ritinha;ViaMobilidade
20:06:20;619.34;1664.9;920053;1388387;REDE;1;notebook-ritinha;ViaMobilidade
20:06:42;624.67;1825.56;992099;1500717;REDE;1;notebook-ritinha;ViaMobilidade
20:07:05;736.83;1916.64;1045999;1595988;REDE;1;notebook-ritinha;ViaMobilidade
20:07:27;740.3;2021.56;1092989;1669323;REDE;1;notebook-ritinha;ViaMobilidade
20:07:50;853.2;2170.55;1171164;1804425;REDE;1;notebook-ritinha;ViaMobilidade
20:08:12;853.94;2190.59;1180501;1818574;REDE;1;notebook-ritinha;ViaMobilidade
20:08:35;966.53;2359.32;1268523;1967051;REDE;1;notebook-ritinha;ViaMobilidade
20:08:57;966.77;2366.54;1271606;1972215;REDE;1;notebook-ritinha;ViaMobilidade
20:09:20;1080.92;2555.79;1367626;2134667;REDE;1;notebook-ritinha;ViaMobilidade
20:09:42;1080.93;2555.81;1367694;2134753;REDE;1;notebook-ritinha;ViaMobilidade
20:10:05;1191.76;2809.95;1492822;2340366;REDE;1;notebook-ritinha;ViaMobilidade
20:10:27;1197.17;2810.09;1493647;2341921;REDE;1;notebook-ritinha;ViaMobilidade
20:10:49;1285.83;3044.25;1605735;2528909;REDE;1;notebook-ritinha;ViaMobilidade
20:11:12;1313.75;3045.2;1609609;2537111;REDE;1;notebook-ritinha;ViaMobilidade
20:11:34;1356.74;3289.49;1724031;2720762;REDE;1;notebook-ritinha;ViaMobilidade
20:11:57;1428.7;3293.2;1734608;2740996;REDE;1;notebook-ritinha;ViaMobilidade
20:12:20;1437.18;3542.94;1846915;2915277;REDE;1;notebook-ritinha;ViaMobilidade
20:12:43;1542.95;3547.6;1861921;2948543;REDE;1;notebook-ritinha;ViaMobilidade
20:13:05;1548.13;3696.23;1930016;3052333;REDE;1;notebook-ritinha;ViaMobilidade
20:13:28;1648.27;3790.4;1985203;3146673;REDE;1;notebook-ritinha;ViaMobilidade
20:13:50;1649.75;3835.68;2005298;3178406;REDE;1;notebook-ritinha;ViaMobilidade
20:14:13;1764.23;4018.54;2098288;3336310;REDE;1;notebook-ritinha;ViaMobilidade
20:14:36;1764.24;4018.55;2098360;3336401;REDE;1;notebook-ritinha;ViaMobilidade
20:14:58;1880.01;4268.48;2224434;3541316;REDE;1;notebook-ritinha;ViaMobilidade
20:15:21;1880.29;4272.99;2227261;3544699;REDE;1;notebook-ritinha;ViaMobilidade
20:15:44;1960.8;4529.56;2352973;3745788;REDE;1;notebook-ritinha;ViaMobilidade
20:16:06;1995.3;4533.04;2359044;3757398;REDE;1;notebook-ritinha;ViaMobilidade
20:16:29;2033.33;4756.85;2466300;3925197;REDE;1;notebook-ritinha;ViaMobilidade
20:16:52;2112.44;4758.75;2476719;3945996;REDE;1;notebook-ritinha;ViaMobilidade
20:17:14;2119.63;4977.86;2574329;4098837;REDE;1;notebook-ritinha;ViaMobilidade
20:17:37;2229.39;5007.34;2599545;4150354;REDE;1;notebook-ritinha;ViaMobilidade
20:17:59;2232.79;5107.13;2644837;4220119;REDE;1;notebook-ritinha;ViaMobilidade
20:18:22;2340.59;5254.02;2724693;4351242;REDE;1;notebook-ritinha;ViaMobilidade
20:18:44;2341.05;5263.84;2729282;4358482;REDE;1;notebook-ritinha;ViaMobilidade
20:19:07;2456.87;5462.99;2832261;4528146;REDE;1;notebook-ritinha;ViaMobilidade
20:19:29;2456.97;5464.83;2833315;4529532;REDE;1;notebook-ritinha;ViaMobilidade
20:19:52;2556.78;5713.97;2958644;4730239;REDE;1;notebook-ritinha;ViaMobilidade
20:20:15;2572.94;5716.27;2961893;4735820;REDE;1;notebook-ritinha;ViaMobilidade
20:20:38;2631.75;5956.03;3075249;4919375;REDE;1;notebook-ritinha;ViaMobilidade
20:21:01;2687.06;5959.42;3083618;4936540;REDE;1;notebook-ritinha;ViaMobilidade
20:21:25;2709.67;6211.62;3198514;5118511;REDE;1;notebook-ritinha;ViaMobilidade
20:21:48;2800.61;6213.46;3210172;5144138;REDE;1;notebook-ritinha;ViaMobilidade
20:22:11;2805.58;6354.09;3275438;5242403;REDE;1;notebook-ritinha;ViaMobilidade
20:22:33;2916.13;6445.29;3328760;5337278;REDE;1;notebook-ritinha;ViaMobilidade
20:22:56;2917.56;6487.11;3347809;5366623;REDE;1;notebook-ritinha;ViaMobilidade
20:23:19;2986.94;6606.63;3408836;5470369;REDE;1;notebook-ritinha;ViaMobilidade
20:23:43;2986.97;6606.66;3408920;5470487;REDE;1;notebook-ritinha;ViaMobilidade
20:24:08;3051.29;6771.67;3489164;5604064;REDE;1;notebook-ritinha;ViaMobilidade
20:24:31;3051.46;6774.5;3490935;5606166;REDE;1;notebook-ritinha;ViaMobilidade
